timestamp,price_usd
2026-08-14T10:21:40.940966Z,0.078505
2026-08-14T10:23:22.608189Z,0.078506
2026-08-14T10:30:39.499392Z,0.078514
2026-08-14T10:32:10.743221Z,0.078582
2026-08-14T10:35:15.234174Z,0.078448
2026-08-14T10:37:06.703876Z,0.07848
2026-08-14T10:38:41.713893Z,0.078563
2026-08-14T10:40:14.247809Z,0.078524
2026-08-14T10:41:40.295341Z,0.078519
2026-08-14T10:43:11.057849Z,0.078436
2026-08-14T10:45:55.134060Z,0.078457
2026-08-14T10:47:45.188432Z,0.07848
2026-08-14T10:53:40.660912Z,0.078435
2026-08-14T10:55:15.417466Z,0.078459
2026-08-14T10:55:42.886133Z,0.078459
2026-08-14T10:57:27.509474Z,0.078392
2026-08-14T10:59:02.290073Z,0.078336
2026-08-14T11:00:36.834352Z,0.078391
2026-08-14T11:09:27.053836Z,0.078364
2026-08-14T13:22:17.187163Z,0.078712
2026-08-14T13:23:25.700530Z,0.078689
2026-08-14T13:24:44.608428Z,0.078779
2026-08-14T13:25:41.105253Z,0.078808
2026-08-14T13:25:47.900975Z,0.078808
2026-08-14T13:27:15.416963Z,0.078776
2026-08-14T13:28:31.540144Z,0.078872
2026-08-14T13:28:47.826730Z,0.078878
2026-08-14T13:30:07.456062Z,0.078949
2026-08-14T13:30:22.452083Z,0.078949
2026-08-14T13:31:08.788112Z,0.079002
2026-08-14T13:32:44.764587Z,0.07902
2026-08-14T13:33:34.882128Z,0.07902
2026-08-14T13:33:56.502109Z,0.079036
2026-08-14T13:34:55.806008Z,0.079038
2026-08-14T13:35:14.386430Z,0.079038
2026-08-14T13:36:22.307756Z,0.078981
2026-08-14T13:37:57.468165Z,0.079058
2026-08-14T13:42:01.418369Z,0.079171
2026-08-14T13:42:59.525751Z,0.079198
2026-08-14T13:44:06.939246Z,0.079271
2026-08-14T13:45:14.936200Z,0.079257
2026-08-14T13:46:13.341045Z,0.079221
2026-08-14T13:47:10.089484Z,0.079238
2026-08-14T13:48:08.603700Z,0.079206
